District,Title,ProjectId,Reference,Leads2026,BudgetCredits2026,BudgetAED2026,CPLCredits2026,CPLAED2026,Months2026
Al Barsha,Mas Barsha Residency,d03f650c-0479-4a2e-a73e-a4d6798e8249,d03f650c-0479-4a2e-a73e-a4d6798e8249,1,150,195,150,195,2026-01
Al Furjan,Maison Cannelle Residences,b9a2bdb3-7cbb-4459-a6d2-936877370036,b9a2bdb3-7cbb-4459-a6d2-936877370036,1,150,195,150,195,2026-01
Al Furjan,Zazen Ivy,0f323773-3214-4eb4-af55-aa8474e8a422,0f323773-3214-4eb4-af55-aa8474e8a422,1,150,195,150,195,2026-01
Al Furjan,Sparklz,84c37602-b36d-4e7c-9865-db77e74cedbe,84c37602-b36d-4e7c-9865-db77e74cedbe,1,150,195,150,195,2026-01
Al Hudayriat Island,Wadeem by Modon,4ca1006e-528a-4ed6-9ccb-f6aa903ba7c4,4ca1006e-528a-4ed6-9ccb-f6aa903ba7c4,1,150,195,150,195,2026-01
Al Khan,Jawaher Residences Phase 2 By Eagle Hills,c6b01e43-e0c0-49f6-9400-ac2f83dbdb07,c6b01e43-e0c0-49f6-9400-ac2f83dbdb07,1,150,195,150,195,2026-02
Al Khan,Topaz Residences,1dd586e0-fd5b-47bd-a63a-1223841c2ab9,1dd586e0-fd5b-47bd-a63a-1223841c2ab9,1,150,195,150,195,2026-01
Al Khan,Almaza Tower,18320b86-5865-4bd2-bb49-591e0a51b691,18320b86-5865-4bd2-bb49-591e0a51b691,1,150,195,150,195,2026-01
Al Khan,Sharjah Terraces,60ef2df7-700b-43ab-8764-327fe2829f4f,60ef2df7-700b-43ab-8764-327fe2829f4f,1,150,195,150,195,2026-01
Al Khan,Al Walid Tower,01fbb93f-1284-4a62-951e-3b7516934627,01fbb93f-1284-4a62-951e-3b7516934627,1,150,195,150,195,2026-01
Al Mamzar - Sharjah,La Plage Tower,046d0026-2353-4b7c-9172-409383ef4163,046d0026-2353-4b7c-9172-409383ef4163,1,150,195,150,195,2026-01
Al Mamzar - Sharjah,La Plage Tower 2,297ab33a-e4c2-46ee-92a2-9fabde6db752,297ab33a-e4c2-46ee-92a2-9fabde6db752,1,150,195,150,195,2026-01
Al Rashidiya,Oasis Tower 3 by GJ,76209783-b002-47ce-9df9-6422547c72d0,76209783-b002-47ce-9df9-6422547c72d0,1,150,195,150,195,2026-01
Al Reem Island,Radisson Residences Tower 2,a8ea4460-53b3-4cda-8170-60b0ea48fb33,a8ea4460-53b3-4cda-8170-60b0ea48fb33,1,150,195,150,195,2026-02
Al Reem Island,Canal by M,fdc92675-f0b1-4245-832c-70d490500e51,fdc92675-f0b1-4245-832c-70d490500e51,1,150,195,150,195,2026-01
Al Suyoh,Madain Square,84857160-c84b-4c99-8d2d-657c32b2a870,84857160-c84b-4c99-8d2d-657c32b2a870,1,150,195,150,195,2026-01
Al Warsan,Chapter 01,8f5894f2-e359-4bbc-836b-5582a183e5c7,8f5894f2-e359-4bbc-836b-5582a183e5c7,1,150,195,150,195,2026-01
Al Warsan,Elevia Residences Phase 3 by Valores,3299518c-61f8-4a82-9cbe-eb3fa31e38b7,3299518c-61f8-4a82-9cbe-eb3fa31e38b7,1,150,195,150,195,2026-01
Al Warsan,Zyra Vista Residence,d93faa57-2fd3-4172-be5b-8d675f69bfb5,d93faa57-2fd3-4172-be5b-8d675f69bfb5,1,150,195,150,195,2026-01
Al Wasl,Canal Front Residences Phaze 6 By Meydan Group,df5023bc-a7a5-48a0-aefa-a5f692e97cc0,df5023bc-a7a5-48a0-aefa-a5f692e97cc0,1,150,195,150,195,2026-01
Al Zorah,Glam Residence,38fd7af2-bf37-4143-99a0-21c21de5eee7,38fd7af2-bf37-4143-99a0-21c21de5eee7,1,150,195,150,195,2026-01
Arjan,Gharbi 1 Residences,fbc0d380-dfee-43b4-ad04-79db4e839553,fbc0d380-dfee-43b4-ad04-79db4e839553,1,150,195,150,195,2026-01
Arjan,Legacy by Sunrise,2a029dda-ea4c-4e73-998e-ed846a658c99,2a029dda-ea4c-4e73-998e-ed846a658c99,1,150,195,150,195,2026-01
Arjan,Vincitore Benessere,f1945c8f-d64b-4fa9-b006-217ab0b6856b,f1945c8f-d64b-4fa9-b006-217ab0b6856b,1,150,195,150,195,2026-01
DAMAC Hills,Utopia,19771c75-82ce-481a-aa38-773640bed0aa,19771c75-82ce-481a-aa38-773640bed0aa,1,150,195,150,195,2026-01
Damac Hills 2,ELO,50fab324-1609-4469-9ba6-7a61feab7453,50fab324-1609-4469-9ba6-7a61feab7453,1,150,195,150,195,2026-01
Downtown Dubai,One Residence,1aa2c8d4-f189-4021-ab6e-4db27b2b5204,1aa2c8d4-f189-4021-ab6e-4db27b2b5204,1,150,195,150,195,2026-01
Dubai Land,The Acres Estates Phase 3 by Meraas,2954f725-cf16-4897-a12d-5386b0e5aa82,2954f725-cf16-4897-a12d-5386b0e5aa82,1,150,195,150,195,2026-02
